models
J2:AI21midV1
J2:AI21ultraV1
ai21.jamba15largev1:0
ai21.jamba15miniv1:0
ai21.jambainstructv1:0
AI21/jamba1.5
AI21/jamba1.5large
ai21/jamba1.5large@001
AI21/jamba1.5mini
ai21/jamba1.5mini@001
aleph_alpha/luminousbasecontrol
aleph_alpha/luminousextendedcontrol
aleph_alpha/luminoussupremecontrol
amazon.novalitev1:0
amazon.novamicrov1:0
amazon.novaprov1:0
amazon.titantextexpressV1
amazon.titantextliteV1
amazon.titantextpremierv1:0
anthropic.claude35haiku20241022v1:0
anthropic.claude35sonnet20240620v1:0
anthropic.claude35sonnet20241022v2:0
anthropic.claude3haiku20240307v1:0
anthropic.claude3opus20240229v1:0
anthropic.claude3sonnet20240229v1:0
anthropic.claudeinstantV1
anthropic.claudeV1
anthropic.claudeV2
anthropic.claudev2:1
anthropic/claude2
anthropic/claude2.1
anthropic/claude35haiku20241022
anthropic/claude35sonnet20240620
anthropic/claude35sonnet20241022
anthropic/claude3haiku20240307
anthropic/claude3opus20240229
anthropic/claude3sonnet20240229
anthropic/claudeinstant1
anthropic/claudeinstant1.2
anyscale/HuggingFaceH4/zephyr7bbeta
anyscale/codellama/CodeLlama34bInstructhf
anyscale/codellama/CodeLlama70bInstructhf
anyscale/google/gemma7bit
anyscale/metallama/Llama213bchathf
anyscale/metallama/Llama270bchathf
anyscale/metallama/Llama27bchathf
anyscale/metallama/MetaLlama370BInstruct
anyscale/metallama/MetaLlama38BInstruct
anyscale/mistralai/Mistral7BInstructv0.1
anyscale/mistralai/Mixtral8x22BInstructv0.1
anyscale/mistralai/Mixtral8x7BInstructv0.1
azure/commandrplus
azure/globalstandard/gpt4o20240806
azure/globalstandard/gpt4o20241120
azure/globalstandard/gpt4omini
azure/gpt3.5turbo
azure/gpt3.5turbo125
azure/gpt35turbo
azure/gpt35turbo125
azure/gpt35turbo301
azure/gpt35turbo613
azure/gpt35turbo1106
azure/gpt35turbo16k
azure/gpt35turbo16k0613
azure/gpt4
azure/gpt4125preview
azure/gpt4613
azure/gpt41106preview
azure/gpt432k
azure/gpt432k0613
azure/gpt4turbo
azure/gpt4turbo202449
azure/gpt4turbovisionpreview
azure/gpt4o
azure/gpt4o20240513
azure/gpt4o20240806
azure/gpt4o20241120
azure/gpt4omini
azure/gpt4omini20240718
azure/Mistrallarge2402
azure/Mistrallargelatest
azure/O1
azure/O120241217
azure/O1mini
azure/O1mini2024912
azure/O1preview
azure/O1preview2024912
azure/O3mini
azure/O3mini2025131
azure_ai/Llama3.211BVisionInstruct
azure_ai/Llama3.290BVisionInstruct
azure_ai/Llama3.370BInstruct
azure_ai/MetaLlama370BInstruct
azure_ai/MetaLlama3.1405BInstruct
azure_ai/MetaLlama3.170BInstruct
azure_ai/MetaLlama3.18BInstruct
azure_ai/Phi3medium128kinstruct
azure_ai/Phi3medium4kinstruct
azure_ai/Phi3mini128kinstruct
azure_ai/Phi3mini4kinstruct
azure_ai/Phi3small128kinstruct
azure_ai/Phi3small8kinstruct
azure_ai/Phi3.5MoEinstruct
azure_ai/Phi3.5miniinstruct
azure_ai/Phi3.5visioninstruct
azure_ai/deepseekR1
azure_ai/jambainstruct
azure_ai/ministral3b
azure_ai/Mistrallarge
azure_ai/Mistrallarge2407
azure_ai/Mistralsmall
bedrock/*/1monthcommitment/cohere.commandlighttextv14
bedrock/*/1monthcommitment/cohere.commandtextv14
bedrock/*/6monthcommitment/cohere.commandlighttextv14
bedrock/*/6monthcommitment/cohere.commandtextv14
bedrock/J2:AI21midV1
bedrock/J2:AI21ultraV1
bedrock/ai21.jamba15largev1:0
bedrock/ai21.jamba15miniv1:0
bedrock/ai21.jambainstructv1:0
